candidato,origen_paquete,familia,criterio,estado_fuente,senal_fallo,fuente_ficha,fuente_seccion,fuente_cita,convencion_a,observacion
get_footprint_neighbors (vecindad geométrica),original,R,R1,no_evaluado_o_na,,03-get-footprint-neighbors.md,(ninguna),ausencia declarada,no,
get_footprint_neighbors (vecindad geométrica),original,R,R2,no_evaluado_o_na,,03-get-footprint-neighbors.md,(ninguna),ausencia declarada,no,
get_footprint_neighbors (vecindad geométrica),original,R,R3,no_evaluado_o_na,,03-get-footprint-neighbors.md,(ninguna),ausencia declarada,no,
get_footprint_neighbors (vecindad geométrica),original,R,R4,no_evaluado_o_na,,03-get-footprint-neighbors.md,(ninguna),ausencia declarada,no,
get_footprint_neighbors (vecindad geométrica),original,R,R5,no_evaluado_o_na,,03-get-footprint-neighbors.md,(ninguna),ausencia declarada,no,
get_footprint_neighbors (vecindad geométrica),original,R,R6,no_evaluado_o_na,,03-get-footprint-neighbors.md,(ninguna),ausencia declarada,no,
get_footprint_neighbors (vecindad geométrica),original,R,R7,no_evaluado_o_na,,03-get-footprint-neighbors.md,(ninguna),ausencia declarada,no,
get_footprint_neighbors (vecindad geométrica),original,R,R8,no_evaluado_o_na,,03-get-footprint-neighbors.md,(ninguna),ausencia declarada,no,
get_footprint_neighbors (vecindad geométrica),original,R,R9,no_evaluado_o_na,,03-get-footprint-neighbors.md,(ninguna),ausencia declarada,no,
get_footprint_neighbors (vecindad geométrica),original,R,R10,no_evaluado_o_na,,03-get-footprint-neighbors.md,(ninguna),ausencia declarada,no,
get_footprint_neighbors (vecindad geométrica),original,R,R11,no_evaluado_o_na,,03-get-footprint-neighbors.md,(ninguna),ausencia declarada,no,
get_footprint_neighbors (vecindad geométrica),original,R,R12,activado,1,03-get-footprint-neighbors.md,R activados,R12 (Opción A) o S8 directa (Opción B),no,condicionado a Opción A
get_footprint_neighbors (vecindad geométrica),original,R,R13,no_evaluado_o_na,,03-get-footprint-neighbors.md,(ninguna),ausencia declarada,no,
get_footprint_neighbors (vecindad geométrica),original,R,R14,no_evaluado_o_na,,03-get-footprint-neighbors.md,(ninguna),ausencia declarada,no,
_bbox_distance_to_point,original,S,S1,cumple,0,04-bbox-distance-to-point.md,S1,"S1: cumple (d2=0, sin riesgo de ciclo)",no,
_bbox_distance_to_point,original,S,S2,cumple,0,04-bbox-distance-to-point.md,S2,"S2: cumple con 1 reexport (d4=1, bien bajo UMBRAL_R7_REEXPORTS=3)",no,
_bbox_distance_to_point,original,S,S3,cumple,0,04-bbox-distance-to-point.md,S3,S3: simple (función pura de 11 líneas),no,
_bbox_distance_to_point,original,S,S4,no_determinante,,04-bbox-distance-to-point.md,S4,Sin test focal directo; COBERTURA_INFERIDA vía los 3 consumidores,no,
_bbox_distance_to_point,original,S,S5,cumple,0,04-bbox-distance-to-point.md,S5,S5: cumple,no,
_bbox_distance_to_point,original,S,S6,no_evaluado_o_na,,04-bbox-distance-to-point.md,S6,"REFERENCIA_EXISTENTE (geometría en tools/, no en bridge/, mismo razonamiento que ficha 3)",no,
_bbox_distance_to_point,original,S,S7,no_cumple,1,04-bbox-distance-to-point.md,S7,"S7: NO cumple ninguna cuantitativa (0<80, 0<3, 11<100)",no,
_bbox_distance_to_point,original,S,S8,cumple,0,04-bbox-distance-to-point.md,S8,"M2_proyectado = M2_actual (extracción pura sin cambio) → S8 cumple por igualdad, no domina",no,
_bbox_distance_to_point,original,R,R1,no_evaluado_o_na,,04-bbox-distance-to-point.md,(ninguna),ausencia declarada,no,
_bbox_distance_to_point,original,R,R2,no_evaluado_o_na,,04-bbox-distance-to-point.md,(ninguna),ausencia declarada,no,
_bbox_distance_to_point,original,R,R3,no_evaluado_o_na,,04-bbox-distance-to-point.md,(ninguna),ausencia declarada,no,
_bbox_distance_to_point,original,R,R4,no_evaluado_o_na,,04-bbox-distance-to-point.md,(ninguna),ausencia declarada,no,
_bbox_distance_to_point,original,R,R5,no_evaluado_o_na,,04-bbox-distance-to-point.md,(ninguna),ausencia declarada,no,
_bbox_distance_to_point,original,R,R6,no_evaluado_o_na,,04-bbox-distance-to-point.md,(ninguna),ausencia declarada,no,
_bbox_distance_to_point,original,R,R7,no_evaluado_o_na,,04-bbox-distance-to-point.md,(ninguna),ausencia declarada,no,
_bbox_distance_to_point,original,R,R8,no_evaluado_o_na,,04-bbox-distance-to-point.md,(ninguna),ausencia declarada,no,
_bbox_distance_to_point,original,R,R9,no_evaluado_o_na,,04-bbox-distance-to-point.md,(ninguna),ausencia declarada,no,
_bbox_distance_to_point,original,R,R10,no_evaluado_o_na,,04-bbox-distance-to-point.md,(ninguna),ausencia declarada,no,
_bbox_distance_to_point,original,R,R11,activado,1,04-bbox-distance-to-point.md,R activado,"R11 (beneficio marginal — S7 no se satisface, extraer 11 líneas con 3 consumidores compartidos)",no,
_bbox_distance_to_point,original,R,R12,no_evaluado_o_na,,04-bbox-distance-to-point.md,(ninguna),ausencia declarada,no,
_bbox_distance_to_point,original,R,R13,no_evaluado_o_na,,04-bbox-distance-to-point.md,(ninguna),ausencia declarada,no,
_bbox_distance_to_point,original,R,R14,no_evaluado_o_na,,04-bbox-distance-to-point.md,(ninguna),ausencia declarada,no,
_copper_distance_mm + _dist_point_segment,original,S,S1,cumple,0,05-copper-distance-mm.md,S1,S1: cumple (d2=0),no,
_copper_distance_mm + _dist_point_segment,original,S,S2,cumple,0,05-copper-distance-mm.md,S2,"S2: cumple, 1 reexport necesario",no,
_copper_distance_mm + _dist_point_segment,original,S,S3,cumple,0,05-copper-distance-mm.md,S3,S3: simple,no,
_copper_distance_mm + _dist_point_segment,original,S,S4,no_determinante,,05-copper-distance-mm.md,S4,"Sin test focal directo; COBERTURA_INFERIDA (vía _match_copper, cadena de inferencia larga)",no,
_copper_distance_mm + _dist_point_segment,original,S,S5,cumple,0,05-copper-distance-mm.md,S5,S5: cumple,no,
_copper_distance_mm + _dist_point_segment,original,S,S6,no_evaluado_o_na,,05-copper-distance-mm.md,S6,REFERENCIA_EXISTENTE; adyacencia documentada como hallazgo §14 sin escalar a exclusión,no,
_copper_distance_mm + _dist_point_segment,original,S,S7,no_cumple,1,05-copper-distance-mm.md,S7,"S7: NO cumple ninguna cuantitativa (0<80, 0<3, 30<100)",no,
_copper_distance_mm + _dist_point_segment,original,S,S8,cumple,0,05-copper-distance-mm.md,S8,"M2_proyectado = M2_actual bajo diseño mínimo — cumple por igualdad, no domina",no,
_copper_distance_mm + _dist_point_segment,original,R,R1,no_evaluado_o_na,,05-copper-distance-mm.md,(ninguna),ausencia declarada,no,
_copper_distance_mm + _dist_point_segment,original,R,R2,no_evaluado_o_na,,05-copper-distance-mm.md,(ninguna),ausencia declarada,no,
_copper_distance_mm + _dist_point_segment,original,R,R3,no_evaluado_o_na,,05-copper-distance-mm.md,(ninguna),ausencia declarada,no,
_copper_distance_mm + _dist_point_segment,original,R,R4,no_evaluado_o_na,,05-copper-distance-mm.md,(ninguna),ausencia declarada,no,
_copper_distance_mm + _dist_point_segment,original,R,R5,no_evaluado_o_na,,05-copper-distance-mm.md,(ninguna),ausencia declarada,no,
_copper_distance_mm + _dist_point_segment,original,R,R6,no_evaluado_o_na,,05-copper-distance-mm.md,(ninguna),ausencia declarada,no,
_copper_distance_mm + _dist_point_segment,original,R,R7,no_evaluado_o_na,,05-copper-distance-mm.md,(ninguna),ausencia declarada,no,
_copper_distance_mm + _dist_point_segment,original,R,R8,no_evaluado_o_na,,05-copper-distance-mm.md,(ninguna),ausencia declarada,no,
_copper_distance_mm + _dist_point_segment,original,R,R9,no_evaluado_o_na,,05-copper-distance-mm.md,(ninguna),ausencia declarada,no,
_copper_distance_mm + _dist_point_segment,original,R,R10,no_evaluado_o_na,,05-copper-distance-mm.md,(ninguna),ausencia declarada,no,
_copper_distance_mm + _dist_point_segment,original,R,R11,activado,1,05-copper-distance-mm.md,R activado,R11.,no,
_copper_distance_mm + _dist_point_segment,original,R,R12,no_evaluado_o_na,,05-copper-distance-mm.md,(ninguna),ausencia declarada,no,
_copper_distance_mm + _dist_point_segment,original,R,R13,no_evaluado_o_na,,05-copper-distance-mm.md,(ninguna),ausencia declarada,no,
_copper_distance_mm + _dist_point_segment,original,R,R14,no_evaluado_o_na,,05-copper-distance-mm.md,(ninguna),ausencia declarada,no,
_copper_in_bbox,original,S,S1,no_cumple,1,06-copper-in-bbox.md,S1,S1: NO CUMPLE. El único destino de d2 (_segment_intersects_bbox) no forma parte de K,no,
_copper_in_bbox,original,S,S2,no_evaluado_o_na,,06-copper-in-bbox.md,S2,ausencia declarada,no,
_copper_in_bbox,original,S,S3,no_evaluado_o_na,,06-copper-in-bbox.md,S3,ausencia declarada,no,
_copper_in_bbox,original,S,S4,no_evaluado_o_na,,06-copper-in-bbox.md,S4,ausencia declarada,no,
_copper_in_bbox,original,S,S5,no_evaluado_o_na,,06-copper-in-bbox.md,S5,ausencia declarada,no,
_copper_in_bbox,original,S,S6,no_evaluado_o_na,,06-copper-in-bbox.md,S6,ausencia declarada,no,
_copper_in_bbox,original,S,S7,no_cumple,1,06-copper-in-bbox.md,S7,"S7: NO cumple ninguna cuantitativa (0<80, 0<3, 12<100)",no,
_copper_in_bbox,original,S,S8,no_evaluado_o_na,,06-copper-in-bbox.md,S8,ausencia declarada,no,
_copper_in_bbox,original,R,R1,no_evaluado_o_na,,06-copper-in-bbox.md,(ninguna),ausencia declarada,no,
_copper_in_bbox,original,R,R2,no_evaluado_o_na,,06-copper-in-bbox.md,(ninguna),ausencia declarada,no,
_copper_in_bbox,original,R,R3,no_evaluado_o_na,,06-copper-in-bbox.md,(ninguna),ausencia declarada,no,
_copper_in_bbox,original,R,R4,no_evaluado_o_na,,06-copper-in-bbox.md,(ninguna),ausencia declarada,no,
_copper_in_bbox,original,R,R5,no_evaluado_o_na,,06-copper-in-bbox.md,(ninguna),ausencia declarada,no,
_copper_in_bbox,original,R,R6,no_evaluado_o_na,,06-copper-in-bbox.md,(ninguna),ausencia declarada,no,
_copper_in_bbox,original,R,R7,no_evaluado_o_na,,06-copper-in-bbox.md,(ninguna),ausencia declarada,no,
_copper_in_bbox,original,R,R8,no_evaluado_o_na,,06-copper-in-bbox.md,(ninguna),ausencia declarada,no,
_copper_in_bbox,original,R,R9,no_evaluado_o_na,,06-copper-in-bbox.md,(ninguna),ausencia declarada,no,
_copper_in_bbox,original,R,R10,no_evaluado_o_na,,06-copper-in-bbox.md,(ninguna),ausencia declarada,no,
_copper_in_bbox,original,R,R11,no_evaluado_o_na,,06-copper-in-bbox.md,(ninguna),ausencia declarada,no,
_copper_in_bbox,original,R,R12,no_evaluado_o_na,,06-copper-in-bbox.md,(ninguna),ausencia declarada,no,
_copper_in_bbox,original,R,R13,no_evaluado_o_na,,06-copper-in-bbox.md,(ninguna),ausencia declarada,no,
_copper_in_bbox,original,R,R14,no_evaluado_o_na,,06-copper-in-bbox.md,(ninguna),ausencia declarada,no,
_copper_on_layer,original,S,S1,cumple,0,07-copper-on-layer.md,S1,"S1: cumple (d2=0, sin riesgo de ciclo)",no,
_copper_on_layer,original,S,S2,cumple,0,07-copper-on-layer.md,S2,"S2: cumple, 1 reexport",no,
_copper_on_layer,original,S,S3,cumple,0,07-copper-on-layer.md,S3,"S3: simple (6 líneas, predicado puro)",no,
_copper_on_layer,original,S,S4,no_determinante,,07-copper-on-layer.md,S4,Sin test focal; COBERTURA_INFERIDA transitiva,no,
_copper_on_layer,original,S,S5,cumple,0,07-copper-on-layer.md,S5,S5: cumple,no,
_copper_on_layer,original,S,S6,no_evaluado_o_na,,07-copper-on-layer.md,S6,REFERENCIA_EXISTENTE — sin adyacencia siquiera temática con DT3,no,
_copper_on_layer,original,S,S7,no_cumple,1,07-copper-on-layer.md,S7,"S7: NO cumple ninguna cuantitativa (0<80, 0<3, 6<100) — el candidato más pequeño del universo",no,
_copper_on_layer,original,S,S8,cumple,0,07-copper-on-layer.md,S8,S8: M2_proyectado = M2_actual (igualdad),no,
_copper_on_layer,original,R,R1,no_evaluado_o_na,,07-copper-on-layer.md,(ninguna),ausencia declarada,no,
_copper_on_layer,original,R,R2,no_evaluado_o_na,,07-copper-on-layer.md,(ninguna),ausencia declarada,no,
_copper_on_layer,original,R,R3,no_evaluado_o_na,,07-copper-on-layer.md,(ninguna),ausencia declarada,no,
_copper_on_layer,original,R,R4,no_evaluado_o_na,,07-copper-on-layer.md,(ninguna),ausencia declarada,no,
_copper_on_layer,original,R,R5,no_evaluado_o_na,,07-copper-on-layer.md,(ninguna),ausencia declarada,no,
_copper_on_layer,original,R,R6,no_evaluado_o_na,,07-copper-on-layer.md,(ninguna),ausencia declarada,no,
_copper_on_layer,original,R,R7,no_evaluado_o_na,,07-copper-on-layer.md,(ninguna),ausencia declarada,no,
_copper_on_layer,original,R,R8,no_evaluado_o_na,,07-copper-on-layer.md,(ninguna),ausencia declarada,no,
_copper_on_layer,original,R,R9,no_evaluado_o_na,,07-copper-on-layer.md,(ninguna),ausencia declarada,no,
_copper_on_layer,original,R,R10,no_evaluado_o_na,,07-copper-on-layer.md,(ninguna),ausencia declarada,no,
_copper_on_layer,original,R,R11,activado,1,07-copper-on-layer.md,R activado,R11.,no,
_copper_on_layer,original,R,R12,no_evaluado_o_na,,07-copper-on-layer.md,(ninguna),ausencia declarada,no,
_copper_on_layer,original,R,R13,no_evaluado_o_na,,07-copper-on-layer.md,(ninguna),ausencia declarada,no,
_copper_on_layer,original,R,R14,no_evaluado_o_na,,07-copper-on-layer.md,(ninguna),ausencia declarada,no,
move_footprint (post-mutación),original,S,S1,no_cumple,1,08-move-footprint.md,S1,S1 — NO CUMPLE. Los 3 destinos de d2 son el trío de utilidad universal,no,
move_footprint (post-mutación),original,S,S2,cumple,0,08-move-footprint.md,S2,"S2 — cumple (0 reexports, d4=0)",no,
move_footprint (post-mutación),original,S,S3,no_determinante,,08-move-footprint.md,S3,"S3 — moderada (closure + 3 helpers propios, sin señales de complejidad alta)",no,
move_footprint (post-mutación),original,S,S4,cumple,0,08-move-footprint.md,S4,COBERTURA_DEMOSTRADA razonable (test_move_footprint_reports_component_not_found_with_similars asertado),no,
move_footprint (post-mutación),original,S,S5,cumple,0,08-move-footprint.md,S5,S5 — cumple,no,
move_footprint (post-mutación),original,S,S6,no_evaluado_o_na,,08-move-footprint.md,S6,"REFERENCIA_EXISTENTE (bookkeeping de snapshot pre/post, sin relación con DT3/P1-2)",no,
move_footprint (post-mutación),original,S,S7,cumple,0,08-move-footprint.md,S7,S7.a 99>=80 SÍ (por muy poco margen); S7.c 216>=100 SÍ,no,
move_footprint (post-mutación),original,S,S8,no_determinante,,08-move-footprint.md,S8,S8 falla bajo Opción B; no evaluable con sentido bajo Opción A,no,
move_footprint (post-mutación),original,R,R1,no_evaluado_o_na,,08-move-footprint.md,(ninguna),ausencia declarada,no,
move_footprint (post-mutación),original,R,R2,no_evaluado_o_na,,08-move-footprint.md,(ninguna),ausencia declarada,no,
move_footprint (post-mutación),original,R,R3,no_evaluado_o_na,,08-move-footprint.md,(ninguna),ausencia declarada,no,
move_footprint (post-mutación),original,R,R4,no_evaluado_o_na,,08-move-footprint.md,(ninguna),ausencia declarada,no,
move_footprint (post-mutación),original,R,R5,no_evaluado_o_na,,08-move-footprint.md,(ninguna),ausencia declarada,no,
move_footprint (post-mutación),original,R,R6,no_evaluado_o_na,,08-move-footprint.md,(ninguna),ausencia declarada,no,
move_footprint (post-mutación),original,R,R7,no_evaluado_o_na,,08-move-footprint.md,(ninguna),ausencia declarada,no,
move_footprint (post-mutación),original,R,R8,no_evaluado_o_na,,08-move-footprint.md,(ninguna),ausencia declarada,no,
move_footprint (post-mutación),original,R,R9,no_evaluado_o_na,,08-move-footprint.md,(ninguna),ausencia declarada,no,
move_footprint (post-mutación),original,R,R10,no_evaluado_o_na,,08-move-footprint.md,(ninguna),ausencia declarada,no,
move_footprint (post-mutación),original,R,R11,no_evaluado_o_na,,08-move-footprint.md,(ninguna),ausencia declarada,no,
move_footprint (post-mutación),original,R,R12,activado,1,08-move-footprint.md,R activados,R12 (Opción A) o S8 directa (Opción B),no,condicionado a Opción A
move_footprint (post-mutación),original,R,R13,no_evaluado_o_na,,08-move-footprint.md,(ninguna),ausencia declarada,no,
move_footprint (post-mutación),original,R,R14,no_evaluado_o_na,,08-move-footprint.md,(ninguna),ausencia declarada,no,
add_track (resolución de endpoints),original,S,S1,no_cumple,1,09-add-track.md,S1,"S1 — NO CUMPLE (mismo patrón, tercera y más grande instancia)",no,
add_track (resolución de endpoints),original,S,S2,cumple,0,09-add-track.md,S2,S2 — cumple (0 reexports),no,
add_track (resolución de endpoints),original,S,S3,no_determinante,,09-add-track.md,S3,S3 — moderada-alta: 7 helpers geométricos + 1 closure de 167 líneas,no,
add_track (resolución de endpoints),original,S,S4,cumple,0,09-add-track.md,S4,COBERTURA_DEMOSTRADA razonable para el camino de resolución de pad (la más fuerte de los 12),no,
add_track (resolución de endpoints),original,S,S5,cumple,0,09-add-track.md,S5,S5 — cumple,no,
add_track (resolución de endpoints),original,S,S6,no_evaluado_o_na,,09-add-track.md,S6,"REFERENCIA_EXISTENTE, con hallazgo §14 (DRIFT_AFECTA_CANDIDATO) por adyacencia temática con DT3",no,
add_track (resolución de endpoints),original,S,S7,cumple,0,09-add-track.md,S7,S7.a 167>=80 SÍ; S7.c 332>=100 SÍ,no,
add_track (resolución de endpoints),original,S,S8,no_determinante,,09-add-track.md,S8,S8 falla bajo Opción B; no evaluable con sentido bajo Opción A,no,
add_track (resolución de endpoints),original,R,R1,no_evaluado_o_na,,09-add-track.md,(ninguna),ausencia declarada,no,
add_track (resolución de endpoints),original,R,R2,no_evaluado_o_na,,09-add-track.md,(ninguna),ausencia declarada,no,
add_track (resolución de endpoints),original,R,R3,no_evaluado_o_na,,09-add-track.md,(ninguna),ausencia declarada,no,
add_track (resolución de endpoints),original,R,R4,no_evaluado_o_na,,09-add-track.md,(ninguna),ausencia declarada,no,
add_track (resolución de endpoints),original,R,R5,no_evaluado_o_na,,09-add-track.md,(ninguna),ausencia declarada,no,
add_track (resolución de endpoints),original,R,R6,no_evaluado_o_na,,09-add-track.md,(ninguna),ausencia declarada,no,
add_track (resolución de endpoints),original,R,R7,no_evaluado_o_na,,09-add-track.md,(ninguna),ausencia declarada,no,
add_track (resolución de endpoints),original,R,R8,no_evaluado_o_na,,09-add-track.md,(ninguna),ausencia declarada,no,
add_track (resolución de endpoints),original,R,R9,no_evaluado_o_na,,09-add-track.md,(ninguna),ausencia declarada,no,
add_track (resolución de endpoints),original,R,R10,no_evaluado_o_na,,09-add-track.md,(ninguna),ausencia declarada,no,
add_track (resolución de endpoints),original,R,R11,no_evaluado_o_na,,09-add-track.md,(ninguna),ausencia declarada,no,
add_track (resolución de endpoints),original,R,R12,activado,1,09-add-track.md,R activados,R12 (Opción A) o S8 directa (Opción B),no,condicionado a Opción A
add_track (resolución de endpoints),original,R,R13,no_evaluado_o_na,,09-add-track.md,(ninguna),ausencia declarada,no,
add_track (resolución de endpoints),original,R,R14,no_evaluado_o_na,,09-add-track.md,(ninguna),ausencia declarada,no,
draw_board_outline,original,S,S1,no_cumple,1,10-draw-board-outline.md,S1,"S1 — NO CUMPLE (mismo patrón, cuarta instancia)",no,
draw_board_outline,original,S,S2,cumple,0,10-draw-board-outline.md,S2,S2 — cumple,no,
draw_board_outline,original,S,S3,no_determinante,,10-draw-board-outline.md,S3,S3 — simple-moderada (closure de 85 líneas + 1 helper trivial de 2 líneas),no,
draw_board_outline,original,S,S4,cumple,0,10-draw-board-outline.md,S4,COBERTURA_DEMOSTRADA razonable (test_draw_board_outline_rejects_nonpositive_dims asertado),no,
draw_board_outline,original,S,S5,cumple,0,10-draw-board-outline.md,S5,S5 — cumple,no,
draw_board_outline,original,S,S6,no_evaluado_o_na,,10-draw-board-outline.md,S6,REFERENCIA_EXISTENTE (adyacencia geométrica con DT3 mínima comparada con fichas 3/6/9),no,
draw_board_outline,original,S,S7,cumple,0,10-draw-board-outline.md,S7,S7.a 85>=80 SÍ (margen mínimo); S7.b NO; S7.c 87<100 NO,no,
draw_board_outline,original,S,S8,no_determinante,,10-draw-board-outline.md,S8,S8 falla bajo Opción B; no evaluable con sentido bajo Opción A,no,
draw_board_outline,original,R,R1,no_evaluado_o_na,,10-draw-board-outline.md,(ninguna),ausencia declarada,no,
